,country,description,points,price,winery,variety,title
11,France,"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",87,30.0,Leon Beyer,Gewürztraminer,Leon Beyer 2012 Gewurztraminer (Alsace)
12,US,"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",87,34.0,Louis M. Martini,Cabernet Sauvignon,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)
14,US,"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",87,12.0,Mirassou,Chardonnay,Mirassou 2012 Chardonnay (Central Coast)
15,Germany,"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",87,24.0,Richard Böcking,Riesling,Richard Böcking 2013 Devon Riesling (Mosel)
16,Argentina,"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",87,30.0,Felix Lavaque,Malbec,Felix Lavaque 2010 Felix Malbec (Cafayate)
17,Argentina,"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",87,13.0,Gaucho Andino,Malbec,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)
18,Spain,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",87,28.0,Pradorey,Tempranillo Blend,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)
19,US,"Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",87,32.0,Quiévremont,Meritage,Quiévremont 2012 Meritage (Virginia)
20,US,"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",87,23.0,Quiévremont,Red Blend,Quiévremont 2012 Vin de Maison Red (Virginia)
21,US,"A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",87,20.0,Acrobat,Pinot Noir,Acrobat 2013 Pinot Noir (Oregon)
22,Italy,"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",87,19.0,Baglio di Pianetto,White Blend,Baglio di Pianetto 2007 Ficiligno White (Sicilia)
23,US,"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",87,22.0,Bianchi,Merlot,Bianchi 2011 Signature Selection Merlot (Paso Robles)
24,Italy,"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",87,35.0,Canicattì,Nero d'Avola,Canicattì 2009 Aynat Nero d'Avola (Sicilia)
25,US,"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",87,69.0,Castello di Amorosa,Pinot Noir,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)
26,Italy,"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",87,13.0,Stemmari,White Blend,Stemmari 2013 Dalila White (Terre Siciliane)
27,Italy,"Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",87,10.0,Stemmari,Nero d'Avola,Stemmari 2013 Nero d'Avola (Terre Siciliane)
28,Italy,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",87,17.0,Terre di Giurfo,Red Blend,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)
29,US,"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",86,16.0,Clarksburg Wine Company,Chenin Blanc,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)
33,US,"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",86,50.0,Envolve,Red Blend,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)
34,US,"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",86,20.0,Envolve,Sauvignon Blanc,Envolve 2011 Sauvignon Blanc (Sonoma Valley)
35,US,"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",86,50.0,Erath,Pinot Noir,Erath 2010 Hyland Pinot Noir (McMinnville)
36,Chile,"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",86,15.0,Estampa,Viognier-Chardonnay,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)
37,Italy,"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",86,21.0,Feudi del Pisciotto,Cabernet Sauvignon,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)
38,Italy,"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",86,11.0,Feudi di San Marzano,Primitivo,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)
39,Italy,"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",86,12.0,Feudo di Santa Tresa,Nero d'Avola,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)
40,Italy,"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",86,17.0,Feudo Montoni,Catarratto,Feudo Montoni 2011 Catarratto (Sicilia)
41,US,"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",86,22.0,Hawkins Cellars,Pinot Noir,Hawkins Cellars 2009 Pinot Noir (Willamette Valley)
42,France,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",86,9.0,Henry Fessy,Gamay,Henry Fessy 2012 Nouveau  (Beaujolais)
43,US,"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",86,14.0,Robert Hall,Sauvignon Blanc,Robert Hall 2011 Sauvignon Blanc (Paso Robles)
44,Chile,"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",86,9.0,Sundance,Merlot,Sundance 2011 Merlot (Maule Valley)
45,US,"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",86,40.0,Tarara,Red Blend,Tarara 2010 #SocialSecret Red (Virginia)
46,Italy,"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",86,13.0,Tasca d'Almerita,Inzolia,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)
47,US,"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",86,13.0,The White Knight,Riesling,The White Knight 2011 Riesling (Lake County)
48,US,"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",86,16.0,Trump,Sauvignon Blanc,Trump 2011 Sauvignon Blanc (Monticello)
49,France,"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",86,14.0,Vignerons de Bel Air,Gamay,Vignerons de Bel Air 2011 Eté Indien  (Brouilly)
51,Chile,"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",85,22.0,Casa Silva,Petit Verdot,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)
52,Italy,"The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",85,14.0,Cantine di Dolianova,Monica,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)
53,France,"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",85,15.0,Château de Sours,Bordeaux-style White Blend,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc)
55,US,"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",85,30.0,RustRidge,Chardonnay,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)
56,US,"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",85,14.0,Souverain,Chardonnay,Souverain 2010 Chardonnay (North Coast)
57,Italy,"There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.",85,13.0,Tasca d'Almerita,Grillo,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)
58,Chile,"Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",85,13.0,Tres Palacios,Pinot Noir,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)
59,US,"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",86,55.0,Mellisoni,Malbec,Mellisoni 2014 Malbec (Columbia Valley (WA))
60,US,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",86,100.0,Okapi,Cabernet Sauvignon,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)
61,Italy,This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,86,17.0,Podere dal Nespoli,Sangiovese,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)
62,US,"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",86,25.0,Ram,Cabernet Franc,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))
63,France,"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",86,58.0,Roland Champion,Champagne Blend,Roland Champion NV Brut Rosé  (Champagne)
64,US,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",86,26.0,Sevtap,Sauvignon Blanc,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)
65,France,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",86,24.0,Simonnet-Febvre,Chardonnay,Simonnet-Febvre 2015  Chablis
66,France,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",86,15.0,Vignerons des Terres Secrètes,Chardonnay,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine
67,US,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",86,46.0,Basel Cellars,Bordeaux-style Red Blend,Basel Cellars 2013 Inspired Red (Columbia Valley (WA))
68,US,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",86,12.0,Cocobon,Red Blend,Cocobon 2014 Red (California)
69,France,"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",86,55.0,Collet,Champagne Blend,Collet NV Brut Rosé  (Champagne)
70,US,"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",86,12.0,Drumheller,Chardonnay,Drumheller 2014 Chardonnay (Columbia Valley (WA))
71,US,"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",86,40.0,Eco Terreno,Cabernet Sauvignon,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)
72,Italy,"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",86,32.0,Grifalco,Aglianico,Grifalco 2013 Daginestra  (Aglianico del Vulture)
73,US,"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",86,75.0,Hindsight,Cabernet Sauvignon,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)
74,US,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,86,55.0,Hindsight,Petite Sirah,Hindsight 2012 Estate Grown Petite Sirah (Calistoga)
75,US,"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",86,75.0,Mulvane Wine Co.,Bordeaux-style Red Blend,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)
76,Germany,"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",86,9.0,Schmitt Söhne,Riesling,Schmitt Söhne 2015 Riesling (Rheinhessen)
77,Australia,"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",86,18.0,Yalumba,Chardonnay,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)
78,US,"Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",86,25.0,Z'IVO,Pinot Noir,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills)
80,Chile,"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",86,12.0,Aresti,Carmenère,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley)
81,Spain,"Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",86,16.0,Spyro,Albariño,Spyro 2014 Albariño (Rías Baixas)
82,France,"This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.",86,11.0,Lionel Osmin & Cie,Petit Manseng,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France)
83,Australia,"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",86,20.0,Mitolo,Rosé,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale)
84,US,"A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.",86,24.0,Napa Cellars,Zinfandel,Napa Cellars 2014 Classic Zinfandel (Napa Valley)
85,Germany,"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",86,10.0,P.J. Valckenberg,Riesling,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen)
86,US,"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",86,20.0,Palencia,Albariño,Palencia 2016 Albariño (Ancient Lakes)
87,US,"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",86,55.0,Passaggio,Merlot,Passaggio 2014 Blau Vineyards Merlot (Knights Valley)
88,Italy,"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",86,29.0,Poggio Alloro,Vernaccia,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano)
89,Italy,"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",88,19.0,Fattoria Sardi,Rosato,Fattoria Sardi 2015 Rosato (Toscana)
90,US,"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",88,23.0,Ferrari-Carano,Red Blend,Ferrari-Carano 2014 Siena Red (Sonoma County)
91,US,"This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.",88,18.0,Folie à Deux,Pinot Gris,Folie à Deux 2015 Pinot Gris (Sonoma Coast)
92,US,"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",88,55.0,Franciscan,Meritage,Franciscan 2013 Magnificat Meritage (Napa Valley)
93,Austria,"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",88,12.0,Fuchs,Grüner Veltliner,Fuchs 2015 Grüner Veltliner (Burgenland)
94,US,"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",88,22.0,Gård,Viognier,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA))
95,France,"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",88,20.0,Henry Fessy,Gamay,Henry Fessy 2015  Juliénas
96,France,"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",88,18.0,Henry Fessy,Gamay,Henry Fessy 2015  Régnié
97,US,A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.,88,20.0,Heron Hill,Riesling,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes)
98,Italy,"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",88,30.0,Serpaia di Endrizzi,Sangiovese,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano)
99,US,"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",88,75.0,Soquel Vineyards,Bordeaux-style Red Blend,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley)
100,US,"Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.",88,18.0,Ventosa,Pinot Gris,Ventosa 2015 Pinot Gris (Finger Lakes)
101,US,"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.",87,20.0,Lamoreaux Landing,Riesling,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes)
102,US,Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.,87,20.0,Lamoreaux Landing,Riesling,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes)
103,Chile,"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",87,18.0,Leyda,Chardonnay,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley)
104,Italy,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",87,16.0,Madonna Alta,Red Blend,Madonna Alta 2014 Nativo Red (Toscana)
105,Italy,"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",87,14.0,Marchesi Antinori,White Blend,Marchesi Antinori 2015 Villa Antinori White (Toscana)
106,Italy,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",87,30.0,Marchesi de' Frescobaldi,Red Blend,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana)
107,Italy,"Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.",87,18.0,Marchesi de' Frescobaldi,Vermentino,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana)
108,US,"Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.",87,26.0,Martin Ranch,Zinfandel,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley)
109,Italy,"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",87,30.0,Ornellaia,Red Blend,Ornellaia 2014 Le Volte Red (Toscana)
110,France,"Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.",87,23.0,Pardon et Fils,Gamay,Pardon et Fils 2015 Les Quartelets  (Brouilly)
